trial,gen,CR,Faith,AR,W-Score,bm25_k,vec_k,rrf_k,rerank_k,thresh,fk,reranker,reranker_type,fusion,alpha,mode,adapt_thresh
299,11,0.8417,0.9415,0.8819,2.9416,265,69,45,39,0.0843,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.62,adaptive,0.135
300,11,0.8478,0.9265,0.8668,2.9131,258,255,186,31,0.1256,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.58,fixed,0.083
301,11,0.7668,0.8864,0.8537,2.7695,153,247,169,21,0.2451,7,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.89,fixed,0.083
302,11,0.8278,0.8944,0.8689,2.8569,355,230,179,14,0.0843,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.175
303,11,0.8387,0.9333,0.8673,2.9127,52,197,128,10,0.1424,9,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.63,fixed,0.083
304,11,0.8433,0.9267,0.8707,2.9131,72,255,187,18,0.0879,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.40,fixed,0.208
305,11,0.8470,0.9220,0.8749,2.9158,343,190,135,18,0.1127,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.59,fixed,0.130
306,11,0.8270,0.9331,0.8817,2.9166,69,67,49,46,0.1424,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.75,fixed,0.214
307,11,0.8325,0.9311,0.8727,2.9098,485,260,256,47,0.0668,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.80,fixed,0.175
308,12,0.8324,0.9202,0.8806,2.9052,258,247,187,16,0.2049,6,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.130
309,12,0.8440,0.9606,0.8855,2.9708,482,269,72,16,0.0373,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.68,fixed,0.208
310,12,0.8435,0.9603,0.8856,2.9701,411,72,72,14,0.1289,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.29,fixed,0.245
311,12,0.8380,0.9454,0.8766,2.9367,265,181,257,30,0.0843,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.81,fixed,0.140
312,12,0.8495,0.9200,0.8646,2.9046,265,269,257,18,0.2190,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.30,fixed,0.195
313,12,0.8432,0.9340,0.8811,2.9332,258,298,38,10,0.1034,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.66,adaptive,0.109
314,12,0.8483,0.9390,0.8778,2.9406,394,171,257,10,0.1424,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,adaptive,0.067
315,12,0.8422,0.9377,0.8800,2.9354,485,197,23,10,0.2460,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.39,adaptive,0.115
316,12,0.8374,0.9386,0.8712,2.9220,343,190,257,18,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.22,fixed,0.111
317,12,0.8374,0.9149,0.8614,2.8829,440,299,117,10,0.1256,6,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.43,fixed,0.239
318,12,0.8453,0.9340,0.8817,2.9359,27,145,79,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.188
319,12,0.8357,0.9183,0.8727,2.8976,485,190,212,10,0.0921,9,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.18,adaptive,0.109
320,12,0.8434,0.9385,0.8817,2.9394,184,230,14,36,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.66,fixed,0.162
321,12,0.8360,0.9069,0.8777,2.8897,258,185,206,32,0.0843,9,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.50,adaptive,0.065
322,12,0.8509,0.9289,0.8768,2.9300,38,169,257,10,0.0869,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.73,fixed,0.130
323,12,0.8121,0.8904,0.8708,2.8384,449,215,63,10,0.0334,9,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.22,fixed,0.116
324,12,0.8057,0.9298,0.8724,2.8811,265,136,257,32,0.0267,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.86,adaptive,0.197
325,12,0.8542,0.9391,0.8797,2.9488,500,169,281,10,0.1624,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.44,fixed,0.239
326,12,0.8460,0.9195,0.8696,2.9058,265,195,257,32,0.1975,3,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.81,fixed,0.130
